"FCID_CODE","FCID_DESC","CGN","CG_SUBGROUP","POPULARITY","INTAKE_SUM","INTAKE_AVG","INTAKE_BW_AVG","RECIPES"
"4000095001","Chicken, meat byproducts-babyfood","40","40","169","199.5873115","1.00295131407035175879396984924623","0.11041514958492462311557788944723618","16"
"1202012000","Apricot","12","12B","1131","12664.2236724","9.93272444894117647058823529411765","0.22655540461717647058823529411764706","25"
"1202012001","Apricot-babyfood","12","12B","30","411.7908860","12.11149664705882352941176470588235","1.33629813027352941176470588235294118","7"
"2402245000","Papaya","24","24B","257","16911.7649540","63.57806373684210526315789473684211","1.71582455560601503759398496240601504","5"
"1800002000","Alfalfa, seed","18","18","44","53.3868300","1.112225625","0.01400746093125","2"
"2201196000","Kohlrabi","22","22A","3","271.0000000","90.33333333333333333333333333333333","1.67167049173333333333333333333333333","1"
"4000095000","Chicken, meat byproducts","40","40","11110","53569.5523768","3.80925495106307331294887292896253","0.07608245346268932660172082770390386","540"
"1201090000","Cherry","12","12A","9068","54188.6453382","4.53120205186052345513838949744962","0.09184309822985199431390584497031524","176"
"1902274000","Pepper, black and white","19","19B","18240","889.2496347","0.02947658561058074781225139220366","0.00054763082634911164147440997083002","1000"
"1902274001","Pepper, black and white-babyfood","19","19B","34","0.7699400","0.02080918918918918918918918918919","0.00178694377837837837837837837837838","7"
"1201090001","Cherry-babyfood","12","12A","42","316.9785880","6.46895077551020408163265306122449","0.71597520337551020408163265306122449","8"
"402389000","Turnip, greens","4","4B","178","16807.2020452","91.84263412677595628415300546448087","1.27918853126502732240437158469945355","65"
"301165000","Garlic, bulb","3","3A","22830","20030.0580023","0.39692562872401561540138319164536","0.00762831785862314963438558944176922","1286"
"301165001","Garlic, bulb-babyfood","3","3A","49","21.4755500","0.36399237288135593220338983050847","0.03512629349830508474576271186440678","6"
"103296000","Potato, chips","1","1C","4666","110260.6983668","20.8668997666161998485995457986374","0.44204836286839515518546555639666919","7"
"802234000","Okra","8","8BC","264","10260.1388055","37.58292602747252747252747252747253","0.63882991172893772893772893772893773","74"
"603034000","Bean, cowpea, seed","6","6C","52","1627.4968650","30.13883083333333333333333333333333","0.44884574965","20"
"101050001","Beet, garden, roots-babyfood","1","1AB","52","4.8027000","0.080045","0.00835825092333333333333333333333333","2"
"101050000","Beet, garden, roots","1","1AB","560","15758.7052220","23.76878615686274509803921568627451","0.37539447757390648567119155354449472","31"
"1400278000","Pine nut","14","14","64","1127.1759114","17.34116786769230769230769230769231","0.35424274963076923076923076923076923","5"
"1500126000","Corn, pop","15","15","2774","79298.2418467","25.83004620413680781758957654723127","0.53019633052622149837133550488599349","19"
"1400059000","Brazil nut","14","14","61","230.4952000","3.6014875","0.05807938096875","4"
"1400112000","Coconut, dried","14","14","1833","4945.3912330","2.39718431071255453223460979156568","0.04580903312501211827435773145904023","55"
"1901249000","Parsley, dried leaves","19","19A","1414","587.8827934","0.39883500230664857530529172320217","0.00820240822971506105834464043419267","110"
"3400295000","Pork, liver","34","34","86","949.7459682","10.67130301348314606741573033707865","0.14157274024269662921348314606741573","9"
